age,gender,income_inr,city,employment_type,work_hours_per_day,commute_minutes,dinners_cooked_per_week,enjoy_cooking,cooking_skill_rating,cooking_challenges,dinner_time_hour,primary_cook,favorite_cuisines,meal_type_pref,non_veg_freq_per_week,dietary_goals,allergies,healthy_importance_rating,track_macros,orders_outside_per_week,spend_outside_per_meal_inr,willing_to_pay_mealkit_inr,payment_mode,priority_taste,priority_price,priority_nutrition,priority_ease,priority_time,subscribe_try,delivery_pref,meals_per_week_subscription,desired_features,priority_health,priority_time_savings,priority_convenience,priority_variety,priority_affordability,continue_service,refer_service,incentive_pref,healthy_brand_association,additional_needs
34,Male,75695,Delhi NCR,Part-time,9,5,6,Yes,4,"No time,No skills,Too tired,Don't enjoy it",21.5,Self,"Chinese,Fusion,Vegan,Continental,Keto/High-protein,Mexican,Thai,Asian",Vegetarian,2,"Gluten-free,Low-calorie,Diabetes-friendly,Low-carb,Immune boost,Weight loss,Balanced meals","Lactose,Nuts",3,Never,0,322,350,UPI,4,1,3,2,5,Maybe,Weekly batch,1,"Easy cooking,Recipe variety,Family plans,Customizable,Fast delivery",5,2,3,1,4,Maybe,Definitely,Free meals,FreshMenu,Reusable packaging
38,Male,63413,Mumbai,Student,8,5,2,Only on weekends,5,"Waste of ingredients,No time,Too tired,Portioning issues,Don't enjoy it",20.2,Parent,"South Indian,Chinese,Healthy Superfoods,Italian,Fusion,Vegan",Eggetarian,6,"Diabetes-friendly,Low-calorie,Immune boost,Low-carb,Gut health,Gluten-free,Sustainable eating","Eggs,Soy",3,Regularly,2,146,150,UPI,1,2,3,5,4,Maybe,Daily,6,"Loyalty points,Family plans,Fast delivery,Nutrition labels",5,1,2,3,4,Definitely,Definitely,Discounts,Subway,Calorie tracker
21,Male,63886,Delhi NCR,Student,7,6,3,Yes,5,"Cleaning up,Waste of ingredients,Not cost-effective,No time",20.8,Hired help,"Chinese,North Indian,Keto/High-protein,South Indian,Vegan,Italian",Eggetarian,1,"Diabetes-friendly,Immune boost,Sustainable eating,Muscle gain,Gut health,Quick meal-prep,Low-calorie,Gluten-free","Gluten,Eggs",2,Never,6,243,400,Debit Card,4,5,1,3,2,Definitely,Daily,2,"Nutrition labels,Fast delivery,Easy cooking,Family plans",1,3,5,4,2,Definitely,Maybe,Discounts,None,Calorie tracker
19,Prefer not to say,62192,Bangalore,Freelancer,9,14,3,No,4,"No skills,No time,Portioning issues,Waste of ingredients",19.5,Self,"Chinese,Keto/High-protein,Vegan,Mexican,Asian",Eggetarian,2,"Sustainable eating,Low-carb,High-protein,Immune boost,Quick meal-prep,Weight loss","Eggs,Lactose,None",2,Regularly,7,308,300,UPI,2,4,1,5,3,Definitely,3x/week,1,"Loyalty points,Nutrition labels,Fast delivery,App-based tracking,Recipe variety,Family plans,Customizable,No cleanup",4,3,2,5,1,No,Definitely,Discounts,None,More vegan options
25,Male,92972,Chennai,Part-time,8,23,4,No,1,"No skills,Portioning issues,Waste of ingredients,No ideas,Cleaning up,Don't enjoy it,Not cost-effective,Too tired",19.7,Hired help,"Italian,South Indian,North Indian,Mexican,Fusion,Healthy Superfoods,Thai",Non-Vegetarian,4,"Gluten-free,High-protein,Low-carb,Immune boost,Low-calorie",Soy,5,Never,0,218,350,Debit Card,1,2,4,5,3,Maybe,3x/week,6,"Loyalty points,Cancel-anytime,Family plans,Recipe variety,Nutrition labels,Fast delivery",5,2,4,3,1,Maybe,Maybe,Discounts,Epigamia,Reusable packaging
31,Non-binary,64622,Bangalore,Student,8,0,6,No,2,"No time,Waste of ingredients,No ideas,Too tired,No skills,Cleaning up,Not cost-effective,Don't enjoy it",20.8,Self,"Chinese,Fusion,Keto/High-protein,South Indian,Italian,Continental",Vegan,6,"Immune boost,Diabetes-friendly,Low-carb,Gut health,Muscle gain,Quick meal-prep,Weight loss,High-protein","Nuts,Soy,Gluten",3,Regularly,1,202,150,Wallets,2,5,4,3,1,Definitely,Daily,7,"Fast delivery,Loyalty points,Recipe variety,App-based tracking,Family plans,No cleanup",2,5,1,3,4,No,Definitely,Free meals,FreshMenu,Reusable packaging
33,Prefer not to say,36530,Hyderabad,Freelancer,7,69,3,No,3,"Portioning issues,No time,Too tired,No ideas",20.2,Hired help,"Italian,Fusion,South Indian,Thai,Vegan,Keto/High-protein,Chinese,Asian",Eggetarian,4,"Diabetes-friendly,Low-carb,Balanced meals,Quick meal-prep,Immune boost,Low-calorie,Muscle gain,Sustainable eating","Eggs,Lactose",3,Occasionally,6,317,350,Debit Card,4,5,2,1,3,Unlikely,3x/week,6,"Customizable,App-based tracking,No cleanup,Nutrition labels,Recipe variety,Easy cooking",2,1,5,3,4,No,Maybe,Discounts,EatFit,None
37,Female,53431,Delhi NCR,Freelancer,6,6,0,Only on weekends,1,"Too tired,No ideas,Not cost-effective,No time,Grocery hassle,No skills,Portioning issues",19.5,Parent,"Vegan,Healthy Superfoods,Italian,Mexican,Continental,Keto/High-protein,Thai,Chinese",Non-Vegetarian,7,"Low-calorie,Low-carb,Immune boost,Muscle gain,Sustainable eating,Gluten-free,High-protein","Soy,Lactose",3,Regularly,5,384,350,UPI,2,5,1,4,3,Maybe,On-demand,1,"Recipe variety,App-based tracking,Nutrition labels,Loyalty points,Family plans",2,1,5,3,4,Definitely,Definitely,Free meals,Subway,None
34,Prefer not to say,39520,Hyderabad,Homemaker,9,5,2,No,4,"Portioning issues,No ideas,Not cost-effective,No skills,Grocery hassle,Waste of ingredients",20.1,Parent,"Healthy Superfoods,Fusion,North Indian,South Indian,Continental,Vegan,Chinese,Mexican",Vegetarian,4,"Gluten-free,Low-carb,Sustainable eating,Immune boost,Muscle gain,Balanced meals,Gut health","Soy,Nuts",1,Occasionally,0,346,250,Credit Card,1,5,4,3,2,Maybe,3x/week,4,"Fast delivery,No cleanup,Easy cooking,Recipe variety,Cancel-anytime,Loyalty points",1,2,5,3,4,Definitely,Definitely,Free meals,None,None
37,Female,114406,Chennai,Student,10,5,3,No,1,"No time,Waste of ingredients,Portioning issues,Don't enjoy it,No ideas,Cleaning up,Not cost-effective,Grocery hassle",19.2,Parent,"Continental,Italian,Mexican,Asian",Eggetarian,2,"Gut health,Low-calorie,Quick meal-prep,Muscle gain,Sustainable eating,Low-carb,Balanced meals,Immune boost","Nuts,Gluten",1,Occasionally,7,275,300,Cash,5,4,2,1,3,Maybe,Weekly batch,3,"Family plans,Loyalty points,Nutrition labels,App-based tracking,Easy cooking,Cancel-anytime,Fast delivery,No cleanup",3,2,4,1,5,Definitely,Maybe,Discounts,EatFit,None
